0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
,0.094,https://api.spotify.com/v1/audio-analysis/33xMbeHzmWd6Od0BmLZEUs,0.31,152560.0,0.445,33xMbeHzmWd6Od0BmLZEUs,0.0678,7.0,0.113,-13.355,0.0,0.0863,95.36,3.0,https://api.spotify.com/v1/tracks/33xMbeHzmWd6Od0BmLZEUs,audio_features,spotify:track:33xMbeHzmWd6Od0BmLZEUs,0.122
,0.137,https://api.spotify.com/v1/audio-analysis/3UnyplmZaq547hwsfOR5yy,0.419,197707.0,0.565,3UnyplmZaq547hwsfOR5yy,0.337,5.0,0.128,-11.565,1.0,0.0347,151.277,4.0,https://api.spotify.com/v1/tracks/3UnyplmZaq547hwsfOR5yy,audio_features,spotify:track:3UnyplmZaq547hwsfOR5yy,0.648
,0.59,https://api.spotify.com/v1/audio-analysis/1w8QCSDH4QobcQeT4uMKLm,0.354,244285.0,0.302,1w8QCSDH4QobcQeT4uMKLm,0.0709,9.0,0.111,-13.078,1.0,0.0326,123.753,4.0,https://api.spotify.com/v1/tracks/1w8QCSDH4QobcQeT4uMKLm,audio_features,spotify:track:1w8QCSDH4QobcQeT4uMKLm,0.223
,0.325,https://api.spotify.com/v1/audio-analysis/7J9mBHG4J2eIfDAv5BehKA,0.727,249940.0,0.785,7J9mBHG4J2eIfDAv5BehKA,0.126,5.0,0.31,-6.707,0.0,0.0603,129.649,4.0,https://api.spotify.com/v1/tracks/7J9mBHG4J2eIfDAv5BehKA,audio_features,spotify:track:7J9mBHG4J2eIfDAv5BehKA,0.96
,0.0231,https://api.spotify.com/v1/audio-analysis/1VZedwJj1gyi88WFRhfThb,0.571,278320.0,0.724,1VZedwJj1gyi88WFRhfThb,0.00311,0.0,0.0919,-5.967,1.0,0.026,116.755,4.0,https://api.spotify.com/v1/tracks/1VZedwJj1gyi88WFRhfThb,audio_features,spotify:track:1VZedwJj1gyi88WFRhfThb,0.385
,0.0177,https://api.spotify.com/v1/audio-analysis/3DSmOF7ETJHAQEqqgoSJao,0.579,247067.0,0.777,3DSmOF7ETJHAQEqqgoSJao,0.000248,4.0,0.422,-7.505,1.0,0.0304,109.994,4.0,https://api.spotify.com/v1/tracks/3DSmOF7ETJHAQEqqgoSJao,audio_features,spotify:track:3DSmOF7ETJHAQEqqgoSJao,0.481
,0.0434,https://api.spotify.com/v1/audio-analysis/5HPnumlogzZtpLEaORZjz1,0.606,213227.0,0.638,5HPnumlogzZtpLEaORZjz1,0.000247,3.0,0.0887,-6.994,0.0,0.0339,97.992,4.0,https://api.spotify.com/v1/tracks/5HPnumlogzZtpLEaORZjz1,audio_features,spotify:track:5HPnumlogzZtpLEaORZjz1,0.817
,0.00164,https://api.spotify.com/v1/audio-analysis/6i99ThziImjuFABb8rUQvy,0.574,243333.0,0.925,6i99ThziImjuFABb8rUQvy,0.0243,6.0,0.115,-2.766,0.0,0.0463,125.501,4.0,https://api.spotify.com/v1/tracks/6i99ThziImjuFABb8rUQvy,audio_features,spotify:track:6i99ThziImjuFABb8rUQvy,0.369
,0.312,https://api.spotify.com/v1/audio-analysis/0nkLI0pdyTRpq7BsTFBufZ,0.452,153133.0,0.889,0nkLI0pdyTRpq7BsTFBufZ,0.8,4.0,0.558,-3.838,1.0,0.0379,145.056,4.0,https://api.spotify.com/v1/tracks/0nkLI0pdyTRpq7BsTFBufZ,audio_features,spotify:track:0nkLI0pdyTRpq7BsTFBufZ,0.591
,0.312,https://api.spotify.com/v1/audio-analysis/6Yu1OL8I0D4vjOzYdsXYGK,0.452,153133.0,0.889,6Yu1OL8I0D4vjOzYdsXYGK,0.8,4.0,0.558,-3.838,1.0,0.0379,145.056,4.0,https://api.spotify.com/v1/tracks/6Yu1OL8I0D4vjOzYdsXYGK,audio_features,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,0.591
,0.00154,https://api.spotify.com/v1/audio-analysis/2HvTGx5fzFGpHSyRNvXd9T,0.6,175080.0,0.535,2HvTGx5fzFGpHSyRNvXd9T,0.102,9.0,0.123,-8.178,1.0,0.0298,122.678,4.0,https://api.spotify.com/v1/tracks/2HvTGx5fzFGpHSyRNvXd9T,audio_features,spotify:track:2HvTGx5fzFGpHSyRNvXd9T,0.566
,0.00385,https://api.spotify.com/v1/audio-analysis/2XS4lIQ1bl9KSNsYtkqK46,0.341,273133.0,0.881,2XS4lIQ1bl9KSNsYtkqK46,0.0383,2.0,0.141,-3.558,1.0,0.0411,82.957,3.0,https://api.spotify.com/v1/tracks/2XS4lIQ1bl9KSNsYtkqK46,audio_features,spotify:track:2XS4lIQ1bl9KSNsYtkqK46,0.394
,0.0489,https://api.spotify.com/v1/audio-analysis/6dsq7Nt5mIFzvm5kIYNORy,0.6,237293.0,0.853,6dsq7Nt5mIFzvm5kIYNORy,0.346,1.0,0.0934,-7.584,1.0,0.0423,94.457,4.0,https://api.spotify.com/v1/tracks/6dsq7Nt5mIFzvm5kIYNORy,audio_features,spotify:track:6dsq7Nt5mIFzvm5kIYNORy,0.847
,0.919,https://api.spotify.com/v1/audio-analysis/1wKGGfnznnXIvupuEZt9mM,0.396,150013.0,0.141,1wKGGfnznnXIvupuEZt9mM,0.434,6.0,0.339,-16.115,1.0,0.0294,68.03,4.0,https://api.spotify.com/v1/tracks/1wKGGfnznnXIvupuEZt9mM,audio_features,spotify:track:1wKGGfnznnXIvupuEZt9mM,0.0443
,0.829,https://api.spotify.com/v1/audio-analysis/7Jjqx75QRHaYsxF5WnHovC,0.594,292409.0,0.61,7Jjqx75QRHaYsxF5WnHovC,0.208,11.0,0.077,-10.57,0.0,0.0388,129.963,4.0,https://api.spotify.com/v1/tracks/7Jjqx75QRHaYsxF5WnHovC,audio_features,spotify:track:7Jjqx75QRHaYsxF5WnHovC,0.289
,0.964,https://api.spotify.com/v1/audio-analysis/7BIPYQPHbPVDE9UsA0eT72,0.35,200907.0,0.0959,7BIPYQPHbPVDE9UsA0eT72,0.0024,10.0,0.106,-17.471,1.0,0.0439,143.861,4.0,https://api.spotify.com/v1/tracks/7BIPYQPHbPVDE9UsA0eT72,audio_features,spotify:track:7BIPYQPHbPVDE9UsA0eT72,0.108
,0.778,https://api.spotify.com/v1/audio-analysis/4KEw5m7CZXVbpWbHVK4OrV,0.15,292120.0,0.237,4KEw5m7CZXVbpWbHVK4OrV,0.0977,3.0,0.0897,-10.799,0.0,0.0323,67.276,4.0,https://api.spotify.com/v1/tracks/4KEw5m7CZXVbpWbHVK4OrV,audio_features,spotify:track:4KEw5m7CZXVbpWbHVK4OrV,0.0733
,0.0609,https://api.spotify.com/v1/audio-analysis/2YTRLoG5jdzCp4yg3B6OnH,0.733,309787.0,0.719,2YTRLoG5jdzCp4yg3B6OnH,0.108,5.0,0.0807,-8.776,0.0,0.0462,114.959,4.0,https://api.spotify.com/v1/tracks/2YTRLoG5jdzCp4yg3B6OnH,audio_features,spotify:track:2YTRLoG5jdzCp4yg3B6OnH,0.327
,4.23e-05,https://api.spotify.com/v1/audio-analysis/5MPryR3oJGmWnSYM7X2GGE,0.491,163227.0,0.93,5MPryR3oJGmWnSYM7X2GGE,0.612,11.0,0.219,-6.412,0.0,0.0347,99.924,4.0,https://api.spotify.com/v1/tracks/5MPryR3oJGmWnSYM7X2GGE,audio_features,spotify:track:5MPryR3oJGmWnSYM7X2GGE,0.623
,0.049,https://api.spotify.com/v1/audio-analysis/4ymUtICOpIlyvFf3URM7XZ,0.703,208248.0,0.7,4ymUtICOpIlyvFf3URM7XZ,0.0,2.0,0.365,-6.152,1.0,0.135,119.966,4.0,https://api.spotify.com/v1/tracks/4ymUtICOpIlyvFf3URM7XZ,audio_features,spotify:track:4ymUtICOpIlyvFf3URM7XZ,0.512
,0.00583,https://api.spotify.com/v1/audio-analysis/2lffRiAET2Xt6BNb4EmkS2,0.488,298613.0,0.503,2lffRiAET2Xt6BNb4EmkS2,0.809,0.0,0.101,-8.89,1.0,0.0326,144.035,4.0,https://api.spotify.com/v1/tracks/2lffRiAET2Xt6BNb4EmkS2,audio_features,spotify:track:2lffRiAET2Xt6BNb4EmkS2,0.38
,0.493,https://api.spotify.com/v1/audio-analysis/3oQ52Mqz2ih8KjligVoQrG,0.583,34014.0,0.917,3oQ52Mqz2ih8KjligVoQrG,0.0608,6.0,0.296,-8.96,0.0,0.567,171.157,4.0,https://api.spotify.com/v1/tracks/3oQ52Mqz2ih8KjligVoQrG,audio_features,spotify:track:3oQ52Mqz2ih8KjligVoQrG,0.44
,0.665,https://api.spotify.com/v1/audio-analysis/5h8G81Ls00kyf1UEen0gBB,0.487,60642.0,0.753,5h8G81Ls00kyf1UEen0gBB,0.00144,6.0,0.231,-10.533,0.0,0.306,112.907,4.0,https://api.spotify.com/v1/tracks/5h8G81Ls00kyf1UEen0gBB,audio_features,spotify:track:5h8G81Ls00kyf1UEen0gBB,0.847
,0.81,https://api.spotify.com/v1/audio-analysis/6Tq4LginUMBOgZrUs8M40h,0.37,266066.0,0.361,6Tq4LginUMBOgZrUs8M40h,0.87,9.0,0.113,-12.271,1.0,0.0321,66.409,4.0,https://api.spotify.com/v1/tracks/6Tq4LginUMBOgZrUs8M40h,audio_features,spotify:track:6Tq4LginUMBOgZrUs8M40h,0.479
,0.0787,https://api.spotify.com/v1/audio-analysis/7ynvnjTj1XI8ByUq3F8MUw,0.512,234286.0,0.474,7ynvnjTj1XI8ByUq3F8MUw,0.00345,2.0,0.134,-8.36,1.0,0.0371,183.991,4.0,https://api.spotify.com/v1/tracks/7ynvnjTj1XI8ByUq3F8MUw,audio_features,spotify:track:7ynvnjTj1XI8ByUq3F8MUw,0.194
,0.317,https://api.spotify.com/v1/audio-analysis/4wHh4AljzbSGMJvynLgK1q,0.784,221227.0,0.539,4wHh4AljzbSGMJvynLgK1q,0.377,11.0,0.0989,-7.676,0.0,0.0406,122.53,4.0,https://api.spotify.com/v1/tracks/4wHh4AljzbSGMJvynLgK1q,audio_features,spotify:track:4wHh4AljzbSGMJvynLgK1q,0.962
,0.000559,https://api.spotify.com/v1/audio-analysis/2UFEbNhbk9GsxCigXPq3XI,0.6,308427.0,0.939,2UFEbNhbk9GsxCigXPq3XI,0.0,2.0,0.0947,-5.713,1.0,0.0746,121.846,4.0,https://api.spotify.com/v1/tracks/2UFEbNhbk9GsxCigXPq3XI,audio_features,spotify:track:2UFEbNhbk9GsxCigXPq3XI,0.648
,2.32e-05,https://api.spotify.com/v1/audio-analysis/7IcXkPWjwqUCCkI2mUf02h,0.243,190333.0,0.984,7IcXkPWjwqUCCkI2mUf02h,0.00938,10.0,0.131,-3.384,0.0,0.323,180.979,4.0,https://api.spotify.com/v1/tracks/7IcXkPWjwqUCCkI2mUf02h,audio_features,spotify:track:7IcXkPWjwqUCCkI2mUf02h,0.239
,0.0104,https://api.spotify.com/v1/audio-analysis/1595LW73XBxkRk2ciQOHfr,0.548,137760.0,0.816,1595LW73XBxkRk2ciQOHfr,0.0543,2.0,0.152,-4.478,1.0,0.0499,174.993,4.0,https://api.spotify.com/v1/tracks/1595LW73XBxkRk2ciQOHfr,audio_features,spotify:track:1595LW73XBxkRk2ciQOHfr,0.857
,0.672,https://api.spotify.com/v1/audio-analysis/2vEkF5UazjaBL6CpG2BZgq,0.159,145293.0,0.23,2vEkF5UazjaBL6CpG2BZgq,0.848,2.0,0.0951,-15.441,0.0,0.033,84.933,4.0,https://api.spotify.com/v1/tracks/2vEkF5UazjaBL6CpG2BZgq,audio_features,spotify:track:2vEkF5UazjaBL6CpG2BZgq,0.0632
,0.000913,https://api.spotify.com/v1/audio-analysis/6GWS0Nb3ybf3tQXZ0FlfZf,0.154,192920.0,0.972,6GWS0Nb3ybf3tQXZ0FlfZf,0.247,7.0,0.368,-3.626,1.0,0.111,205.467,4.0,https://api.spotify.com/v1/tracks/6GWS0Nb3ybf3tQXZ0FlfZf,audio_features,spotify:track:6GWS0Nb3ybf3tQXZ0FlfZf,0.213
,0.135,https://api.spotify.com/v1/audio-analysis/5FcjGGKpQx6dvuGcbAcFtC,0.725,194960.0,0.774,5FcjGGKpQx6dvuGcbAcFtC,0.126,4.0,0.0844,-6.402,0.0,0.174,78.976,4.0,https://api.spotify.com/v1/tracks/5FcjGGKpQx6dvuGcbAcFtC,audio_features,spotify:track:5FcjGGKpQx6dvuGcbAcFtC,0.72
,0.946,https://api.spotify.com/v1/audio-analysis/4YpfqCRwb3ttShlTNaB2jU,0.365,153693.0,0.0299,4YpfqCRwb3ttShlTNaB2jU,0.49,6.0,0.111,-20.546,1.0,0.0709,80.762,4.0,https://api.spotify.com/v1/tracks/4YpfqCRwb3ttShlTNaB2jU,audio_features,spotify:track:4YpfqCRwb3ttShlTNaB2jU,0.255
,0.681,https://api.spotify.com/v1/audio-analysis/00fyPXxe2SCBHnFwEO9Eh1,0.488,212120.0,0.341,00fyPXxe2SCBHnFwEO9Eh1,0.0,2.0,0.0844,-11.907,1.0,0.0256,79.377,4.0,https://api.spotify.com/v1/tracks/00fyPXxe2SCBHnFwEO9Eh1,audio_features,spotify:track:00fyPXxe2SCBHnFwEO9Eh1,0.463
,0.517,https://api.spotify.com/v1/audio-analysis/691jw4auDZjaTOwUJmtoSy,0.461,229173.0,0.575,691jw4auDZjaTOwUJmtoSy,0.0,10.0,0.138,-10.709,1.0,0.0538,82.634,4.0,https://api.spotify.com/v1/tracks/691jw4auDZjaTOwUJmtoSy,audio_features,spotify:track:691jw4auDZjaTOwUJmtoSy,0.549
,0.361,https://api.spotify.com/v1/audio-analysis/4dkoqJrP0L8FXftrMZongF,0.257,228133.0,0.412,4dkoqJrP0L8FXftrMZongF,8.68e-05,1.0,0.0702,-11.788,1.0,0.0287,152.126,4.0,https://api.spotify.com/v1/tracks/4dkoqJrP0L8FXftrMZongF,audio_features,spotify:track:4dkoqJrP0L8FXftrMZongF,0.858
,0.405,https://api.spotify.com/v1/audio-analysis/2Yh0H2OXI2UItG9GGfQzlK,0.252,229787.0,0.395,2Yh0H2OXI2UItG9GGfQzlK,0.000119,1.0,0.0635,-12.323,1.0,0.0283,154.06,4.0,https://api.spotify.com/v1/tracks/2Yh0H2OXI2UItG9GGfQzlK,audio_features,spotify:track:2Yh0H2OXI2UItG9GGfQzlK,0.84
,0.366,https://api.spotify.com/v1/audio-analysis/0IxxqsYBcCHEQ1HqLYJnwx,0.702,150373.0,0.447,0IxxqsYBcCHEQ1HqLYJnwx,0.0,7.0,0.153,-10.122,1.0,0.0308,93.02,4.0,https://api.spotify.com/v1/tracks/0IxxqsYBcCHEQ1HqLYJnwx,audio_features,spotify:track:0IxxqsYBcCHEQ1HqLYJnwx,0.944
,0.956,https://api.spotify.com/v1/audio-analysis/1aQmitUScES0kpdge6BtF4,0.704,354333.0,0.317,1aQmitUScES0kpdge6BtF4,0.499,0.0,0.139,-13.127,1.0,0.0551,108.165,4.0,https://api.spotify.com/v1/tracks/1aQmitUScES0kpdge6BtF4,audio_features,spotify:track:1aQmitUScES0kpdge6BtF4,0.783
,0.00144,https://api.spotify.com/v1/audio-analysis/7or26qS3BfpTtWO3BFw5GE,0.786,165120.0,0.846,7or26qS3BfpTtWO3BFw5GE,0.0172,8.0,0.101,-3.752,1.0,0.0391,107.976,4.0,https://api.spotify.com/v1/tracks/7or26qS3BfpTtWO3BFw5GE,audio_features,spotify:track:7or26qS3BfpTtWO3BFw5GE,0.695
,0.0355,https://api.spotify.com/v1/audio-analysis/22cDldSuj9rgIMXwn4Ofn0,0.327,207640.0,0.948,22cDldSuj9rgIMXwn4Ofn0,0.515,8.0,0.126,-4.355,1.0,0.0711,177.328,4.0,https://api.spotify.com/v1/tracks/22cDldSuj9rgIMXwn4Ofn0,audio_features,spotify:track:22cDldSuj9rgIMXwn4Ofn0,0.469
,0.126,https://api.spotify.com/v1/audio-analysis/5MbRyPfgokD3c6nxCV7TFG,0.353,291440.0,0.547,5MbRyPfgokD3c6nxCV7TFG,0.116,5.0,0.323,-9.793,0.0,0.0364,146.043,3.0,https://api.spotify.com/v1/tracks/5MbRyPfgokD3c6nxCV7TFG,audio_features,spotify:track:5MbRyPfgokD3c6nxCV7TFG,0.213
,0.328,https://api.spotify.com/v1/audio-analysis/3H3cOQ6LBLSvmcaV7QkZEu,0.624,212547.0,0.911,3H3cOQ6LBLSvmcaV7QkZEu,0.861,7.0,0.0727,-7.482,1.0,0.0524,122.902,4.0,https://api.spotify.com/v1/tracks/3H3cOQ6LBLSvmcaV7QkZEu,audio_features,spotify:track:3H3cOQ6LBLSvmcaV7QkZEu,0.135
,0.919,https://api.spotify.com/v1/audio-analysis/3Vef8GlFWEzrP23UwHjWWl,0.251,152673.0,0.00342,3Vef8GlFWEzrP23UwHjWWl,0.0255,9.0,0.117,-38.794,0.0,0.0433,119.997,3.0,https://api.spotify.com/v1/tracks/3Vef8GlFWEzrP23UwHjWWl,audio_features,spotify:track:3Vef8GlFWEzrP23UwHjWWl,0.0504
,0.0943,https://api.spotify.com/v1/audio-analysis/6D43oUO6nImERk2psfXdNY,0.638,352755.0,0.873,6D43oUO6nImERk2psfXdNY,0.0395,11.0,0.226,-5.545,1.0,0.0363,115.95,4.0,https://api.spotify.com/v1/tracks/6D43oUO6nImERk2psfXdNY,audio_features,spotify:track:6D43oUO6nImERk2psfXdNY,0.682
,0.986,https://api.spotify.com/v1/audio-analysis/7H819kvtogxVpKDFplUFKc,0.161,161653.0,0.176,7H819kvtogxVpKDFplUFKc,0.000232,8.0,0.178,-14.604,1.0,0.0446,67.503,4.0,https://api.spotify.com/v1/tracks/7H819kvtogxVpKDFplUFKc,audio_features,spotify:track:7H819kvtogxVpKDFplUFKc,0.0808
,0.994,https://api.spotify.com/v1/audio-analysis/67kwRadxmmURPuWIpEyymY,0.16,59880.0,0.17,67kwRadxmmURPuWIpEyymY,0.763,8.0,0.0941,-20.478,1.0,0.0376,134.526,4.0,https://api.spotify.com/v1/tracks/67kwRadxmmURPuWIpEyymY,audio_features,spotify:track:67kwRadxmmURPuWIpEyymY,0.0399
,0.959,https://api.spotify.com/v1/audio-analysis/1FEYWXG23hr3m2vXHpbZeq,0.296,88800.0,0.164,1FEYWXG23hr3m2vXHpbZeq,0.0,5.0,0.201,-12.602,0.0,0.0348,85.346,4.0,https://api.spotify.com/v1/tracks/1FEYWXG23hr3m2vXHpbZeq,audio_features,spotify:track:1FEYWXG23hr3m2vXHpbZeq,0.253
,0.0735,https://api.spotify.com/v1/audio-analysis/1SfOQKZv0c9FqNXd2Kjt6P,0.639,175467.0,0.908,1SfOQKZv0c9FqNXd2Kjt6P,0.0,0.0,0.553,-5.575,1.0,0.138,156.029,4.0,https://api.spotify.com/v1/tracks/1SfOQKZv0c9FqNXd2Kjt6P,audio_features,spotify:track:1SfOQKZv0c9FqNXd2Kjt6P,0.926
,0.208,https://api.spotify.com/v1/audio-analysis/3OUpVpFeNx5jeInhHqiNfs,0.495,133347.0,0.854,3OUpVpFeNx5jeInhHqiNfs,0.0,4.0,0.0371,-5.699,1.0,0.0434,77.967,4.0,https://api.spotify.com/v1/tracks/3OUpVpFeNx5jeInhHqiNfs,audio_features,spotify:track:3OUpVpFeNx5jeInhHqiNfs,0.819
,0.0805,https://api.spotify.com/v1/audio-analysis/2zsz6dip4W83IlAgp2zP4Y,0.81,128480.0,0.502,2zsz6dip4W83IlAgp2zP4Y,0.0564,4.0,0.177,-10.399,1.0,0.0541,121.466,4.0,https://api.spotify.com/v1/tracks/2zsz6dip4W83IlAgp2zP4Y,audio_features,spotify:track:2zsz6dip4W83IlAgp2zP4Y,0.685
,0.00792,https://api.spotify.com/v1/audio-analysis/3OsUjkcv1C1v5udFhgRSFg,0.306,287880.0,0.872,3OsUjkcv1C1v5udFhgRSFg,0.8,2.0,0.261,-7.313,1.0,0.05,167.946,4.0,https://api.spotify.com/v1/tracks/3OsUjkcv1C1v5udFhgRSFg,audio_features,spotify:track:3OsUjkcv1C1v5udFhgRSFg,0.648
,0.05,https://api.spotify.com/v1/audio-analysis/2Ol6GoKiAvPOyk52QIQvf7,0.314,265573.0,0.874,2Ol6GoKiAvPOyk52QIQvf7,0.0784,9.0,0.411,-6.33,1.0,0.0398,159.829,4.0,https://api.spotify.com/v1/tracks/2Ol6GoKiAvPOyk52QIQvf7,audio_features,spotify:track:2Ol6GoKiAvPOyk52QIQvf7,0.398
,0.0366,https://api.spotify.com/v1/audio-analysis/1mYPdmzGjsYpWnFF2XO3MJ,0.216,322547.0,0.517,1mYPdmzGjsYpWnFF2XO3MJ,0.318,2.0,0.35,-8.211,0.0,0.0325,99.434,3.0,https://api.spotify.com/v1/tracks/1mYPdmzGjsYpWnFF2XO3MJ,audio_features,spotify:track:1mYPdmzGjsYpWnFF2XO3MJ,0.129
,0.109,https://api.spotify.com/v1/audio-analysis/4knSB7lhQAtO6UqUeaGox8,0.793,208787.0,0.892,4knSB7lhQAtO6UqUeaGox8,0.0,7.0,0.0695,-5.626,1.0,0.171,108.287,4.0,https://api.spotify.com/v1/tracks/4knSB7lhQAtO6UqUeaGox8,audio_features,spotify:track:4knSB7lhQAtO6UqUeaGox8,0.816
,0.582,https://api.spotify.com/v1/audio-analysis/27U2Idl2Jl63dltNrgP6rm,0.426,254852.0,0.502,27U2Idl2Jl63dltNrgP6rm,0.206,1.0,0.123,-11.085,0.0,0.0296,130.018,3.0,https://api.spotify.com/v1/tracks/27U2Idl2Jl63dltNrgP6rm,audio_features,spotify:track:27U2Idl2Jl63dltNrgP6rm,0.153
,5.42e-05,https://api.spotify.com/v1/audio-analysis/0HadrlP2mwJidGF3pyBX4H,0.723,316253.0,0.716,0HadrlP2mwJidGF3pyBX4H,0.905,3.0,0.072,-6.407,0.0,0.0437,128.701,4.0,https://api.spotify.com/v1/tracks/0HadrlP2mwJidGF3pyBX4H,audio_features,spotify:track:0HadrlP2mwJidGF3pyBX4H,0.0748
